Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Grenada	14012	0.0	218.0	0.0	13735.0	0.0	59.0	4.0	123523.0	1922.0	143760.0	1267323.0	113436.0	North America
2022-04-03	Grenada	14012	0.0	218.0	0.0	13735.0	0.0	59.0	4.0	123522.0	1922.0	143760.0	1267311.0	113437.0	North America
2022-04-04	Grenada	14024	12.0	218.0	0.0	13748.0	13.0	58.0	4.0	123626.0	1922.0	144147.0	1270701.0	113439.0	North America
2022-04-05	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123625.0	1922.0	144147.0	1270689.0	113440.0	North America
2022-04-06	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123624.0	1922.0	144147.0	1270678.0	113441.0	North America
2022-04-07	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123622.0	1922.0	144147.0	1270656.0	113443.0	North America
2022-04-08	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123620.0	1922.0	144147.0	1270645.0	113444.0	North America
2022-04-09	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123618.0	1922.0	144147.0	1270622.0	113446.0	North America
2022-04-10	Grenada	14024	0.0	218.0	0.0	13748.0	0.0	58.0	4.0	123617.0	1922.0	144147.0	1270611.0	113447.0	North America
2022-04-11	Grenada	14064	40.0	219.0	1.0	13793.0	45.0	52.0	4.0	123968.0	1930.0	145445.0	1282030.0	113449.0	North America
2022-04-12	Grenada	14064	0.0	219.0	0.0	13793.0	0.0	52.0	4.0	123967.0	1930.0	145445.0	1282019.0	113450.0	North America
2022-04-13	Grenada	14092	28.0	219.0	0.0	13807.0	14.0	66.0	4.0	124212.0	1930.0	145920.0	1286194.0	113451.0	North America
2022-04-14	Grenada	14165	73.0	219.0	0.0	13815.0	8.0	131.0	4.0	124853.0	1930.0	146475.0	1291063.0	113453.0	North America
2022-04-15	Grenada	14165	0.0	219.0	0.0	13815.0	0.0	131.0	4.0	124853.0	1930.0	146475.0	1291063.0	113453.0	North America
2022-04-16	Grenada	14165	0.0	219.0	0.0	13815.0	0.0	131.0	4.0	124853.0	1930.0	146475.0	1291063.0	113453.0	North America
