Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Greece	3051531	21102.0	27571.0	61.0	2761144.0	12406.0	262816.0	351.0	295292.0	2668.0	74389472.0	7198566.0	10333930.0	Europe
2022-04-03	Greece	3067354	15823.0	27623.0	52.0	2784611.0	23467.0	255120.0	357.0	296828.0	2673.0	74675362.0	7226327.0	10333792.0	Europe
2022-04-04	Greece	3077711	10357.0	27684.0	61.0	2811268.0	26657.0	238759.0	356.0	297834.0	2679.0	74854140.0	7243725.0	10333653.0	Europe
2022-04-05	Greece	3096135	18424.0	27746.0	62.0	2811268.0	0.0	257121.0	365.0	299621.0	2685.0	74953491.0	7253436.0	10333515.0	Europe
2022-04-06	Greece	3114591	18456.0	27816.0	70.0	2856354.0	45086.0	230421.0	358.0	301411.0	2692.0	75356144.0	7292499.0	10333377.0	Europe
2022-04-07	Greece	3126856	12265.0	27892.0	76.0	2872518.0	16164.0	226446.0	358.0	302602.0	2699.0	75619942.0	7318126.0	10333238.0	Europe
2022-04-08	Greece	3137714	10858.0	27968.0	76.0	2889000.0	16482.0	220746.0	359.0	303657.0	2707.0	75846164.0	7340117.0	10333100.0	Europe
2022-04-09	Greece	3152477	14763.0	28025.0	57.0	2902353.0	13353.0	222099.0	360.0	305089.0	2712.0	76125933.0	7367291.0	10332961.0	Europe
2022-04-10	Greece	3164995	12518.0	28076.0	51.0	2929785.0	27432.0	207134.0	361.0	306305.0	2717.0	76363746.0	7390405.0	10332823.0	Europe
2022-04-11	Greece	3173630	8635.0	28130.0	54.0	2958806.0	29021.0	186694.0	357.0	307145.0	2722.0	76515099.0	7405152.0	10332685.0	Europe
2022-04-12	Greece	3195887	15331.0	28274.0	69.0	3002224.0	21021.0	165389.0	356.0	309303.0	2736.0	76926444.0	7445062.0	10332546.0	Europe
2022-04-13	Greece	3206948	11061.0	28344.0	70.0	3023257.0	21033.0	155347.0	345.0	310378.0	2743.0	77162026.0	7467962.0	10332408.0	Europe
2022-04-14	Greece	3216256	9308.0	28406.0	62.0	3039010.0	15753.0	148840.0	334.0	311283.0	2749.0	77364430.0	7487652.0	10332269.0	Europe
2022-04-15	Greece	3224479	8223.0	28488.0	82.0	3049305.0	10295.0	146686.0	329.0	312078.0	2757.0	77606878.0	7511117.0	10332269.0	Europe
2022-04-16	Greece	3224479	0.0	28488.0	0.0	3049305.0	0.0	146686.0	329.0	312078.0	2757.0	77606878.0	7511117.0	10332269.0	Europe
