Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Lithuania	1027462	2524.0	8890.0	9.0	959807.0	3153.0	58765.0	66.0	386873.0	3347.0	8076570.0	3041094.0	2655811.0	Europe
2022-04-03	Lithuania	1029474	2012.0	8899.0	9.0	964113.0	4306.0	56462.0	56.0	387646.0	3351.0	8084507.0	3044200.0	2655708.0	Europe
2022-04-04	Lithuania	1030966	1492.0	8907.0	8.0	965343.0	1230.0	56716.0	56.0	388223.0	3354.0	8090105.0	3046426.0	2655605.0	Europe
2022-04-05	Lithuania	1031765	799.0	8916.0	9.0	967831.0	2488.0	55018.0	56.0	388539.0	3358.0	8093436.0	3047799.0	2655502.0	Europe
2022-04-06	Lithuania	1033929	2164.0	8927.0	11.0	973428.0	5597.0	51574.0	62.0	389369.0	3362.0	8102064.0	3051166.0	2655399.0	Europe
2022-04-07	Lithuania	1035797	1868.0	8938.0	11.0	977410.0	3982.0	49449.0	60.0	390087.0	3366.0	8111017.0	3054656.0	2655296.0	Europe
2022-04-08	Lithuania	1037464	1667.0	8943.0	5.0	981030.0	3620.0	47491.0	53.0	390730.0	3368.0	8119294.0	3057892.0	2655193.0	Europe
2022-04-09	Lithuania	1038988	1524.0	8957.0	14.0	984220.0	3190.0	45811.0	45.0	391319.0	3374.0	8126504.0	3060726.0	2655090.0	Europe
2022-04-10	Lithuania	1040589	1601.0	8964.0	7.0	988502.0	4282.0	43123.0	37.0	391938.0	3376.0	8133324.0	3063414.0	2654987.0	Europe
2022-04-11	Lithuania	1041489	900.0	8968.0	4.0	989597.0	1095.0	42924.0	44.0	392292.0	3378.0	8137789.0	3065215.0	2654884.0	Europe
2022-04-12	Lithuania	1042126	637.0	8978.0	10.0	991468.0	1871.0	41680.0	45.0	392547.0	3382.0	8141177.0	3066610.0	2654781.0	Europe
2022-04-13	Lithuania	1043569	1443.0	8982.0	4.0	995243.0	3775.0	39344.0	45.0	393090.0	3383.0	8148805.0	3069483.0	2654781.0	Europe
2022-04-14	Lithuania	1045085	1516.0	8988.0	6.0	997978.0	2735.0	38119.0	47.0	393661.0	3386.0	8157182.0	3072638.0	2654781.0	Europe
