Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Zambia	316941	91.0	3966.0		312249.0	113.0	726.0		16435.0	206.0	3360009.0	174234.0	19284482.0	Africa
2022-04-03	Zambia	317031	90.0	3967.0	1.0	312363.0	114.0	701.0		16438.0	206.0	3362585.0	174355.0	19285895.0	Africa
2022-04-04	Zambia	317076	45.0	3967.0		312473.0	110.0	636.0		16440.0	206.0	3364267.0	174429.0	19287307.0	Africa
2022-04-05	Zambia	317110	34.0	3967.0		312566.0	93.0	577.0		16440.0	206.0	3365478.0	174479.0	19288719.0	Africa
2022-04-06	Zambia	317221	111.0	3967.0		312615.0	49.0	639.0		16445.0	206.0	3368245.0	174610.0	19290131.0	Africa
2022-04-07	Zambia	317358	137.0	3967.0		312638.0	23.0	753.0		16451.0	206.0	3371058.0	174743.0	19291543.0	Africa
2022-04-08	Zambia	317483	125.0	3967.0		312721.0	83.0	795.0		16456.0	206.0	3373977.0	174881.0	19292955.0	Africa
2022-04-09	Zambia	317483		3967.0		312721.0		795.0		16455.0	206.0	3373977.0	174868.0	19294367.0	Africa
2022-04-10	Zambia	317696	213.0	3967.0		312917.0	196.0	812.0		16465.0	206.0	3373977.0	174856.0	19295780.0	Africa
2022-04-11	Zambia	317750	54.0	3967.0		313002.0	85.0	781.0		16466.0	206.0	3381138.0	175214.0	19297192.0	Africa
2022-04-12	Zambia	317804	54.0	3967.0		313073.0	71.0	764.0		16468.0	206.0	3382643.0	175279.0	19298604.0	Africa
2022-04-13	Zambia	317804		3967.0		313073.0		764.0		16468.0	206.0	3382643.0	175279.0	19298604.0	Africa
2022-04-14	Zambia	318113	309.0	3969.0	2.0	313194.0	121.0	950.0		16484.0	206.0	3390279.0	175675.0	19298604.0	Africa
