Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ghana	160971		1445.0		159468.0		58.0	1.0	4998.0	45.0	2419852.0	75132.0	32207812.0	Africa
2022-04-03	Ghana	160971		1445.0		159468.0		58.0	1.0	4998.0	45.0	2419852.0	75128.0	32209587.0	Africa
2022-04-04	Ghana	160971		1445.0		159468.0		58.0	1.0	4997.0	45.0	2419852.0	75124.0	32211363.0	Africa
2022-04-05	Ghana	160971		1445.0		159468.0		58.0	1.0	4997.0	45.0	2419852.0	75120.0	32213139.0	Africa
2022-04-06	Ghana	161014	43.0	1445.0		159531.0	63.0	38.0	1.0	4998.0	45.0	2422885.0	75210.0	32214915.0	Africa
2022-04-07	Ghana	161034	20.0	1445.0		159547.0	16.0	42.0	1.0	4998.0	45.0	2424907.0	75269.0	32216690.0	Africa
2022-04-08	Ghana	161034		1445.0		159547.0		42.0	1.0	4998.0	45.0	2424907.0	75265.0	32218466.0	Africa
2022-04-09	Ghana	161048	14.0	1445.0		159566.0	19.0	37.0	1.0	4998.0	45.0	2426051.0	75296.0	32220242.0	Africa
2022-04-10	Ghana	161048		1445.0		159566.0		37.0	1.0	4998.0	45.0	2426051.0	75292.0	32222018.0	Africa
2022-04-11	Ghana	161048		1445.0		159566.0		37.0	1.0	4998.0	45.0	2426051.0	75288.0	32223793.0	Africa
2022-04-12	Ghana	161071	23.0	1445.0		159592.0	26.0	34.0	1.0	4998.0	45.0	2428236.0	75351.0	32225569.0	Africa
2022-04-13	Ghana	161071		1445.0		159592.0		34.0	1.0	4998.0	45.0	2428236.0	75351.0	32225569.0	Africa
2022-04-14	Ghana	161086	15.0	1445.0		159607.0	15.0	34.0	1.0	4999.0	45.0	2429358.0	75386.0	32225569.0	Africa
