Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Belgium	3851048	15386.0	30826.0	30.0	3533094.0	9025.0	287128.0	164.0	329772.0	2640.0	32872543.0	2814930.0	11677924.0	Europe
2022-04-03	Belgium	3851048		30826.0		3533015.0		287207.0	164.0	329768.0	2640.0	32872543.0	2814897.0	11678061.0	Europe
2022-04-04	Belgium	3871172	10351.0	30879.0	31.0	3540753.0	7738.0	299540.0	164.0	331487.0	2644.0	32872543.0	2814864.0	11678199.0	Europe
2022-04-05	Belgium	3881523	10351.0	30908.0	29.0	3547912.0	7159.0	302703.0	183.0	332370.0	2647.0	33001012.0	2825832.0	11678336.0	Europe
2022-04-06	Belgium	3881523		30908.0		3561398.0	13486.0	289217.0	183.0	332366.0	2647.0	33001012.0	2825798.0	11678474.0	Europe
2022-04-07	Belgium	3905122	12483.0	30970.0	31.0	3561316.0	6650.0	312836.0	183.0	334382.0	2652.0	33001012.0	2825765.0	11678611.0	Europe
2022-04-08	Belgium	3915732	10610.0	30997.0	27.0	3567029.0	5713.0	317706.0	183.0	335287.0	2654.0	33001012.0	2825732.0	11678749.0	Europe
2022-04-09	Belgium	3915732		30997.0		3570719.0	3690.0	314016.0	176.0	335283.0	2654.0	33120016.0	2835888.0	11678886.0	Europe
2022-04-10	Belgium	3915732		30997.0		3578125.0	7406.0	306610.0	176.0	335279.0	2654.0	33120016.0	2835855.0	11679024.0	Europe
2022-04-11	Belgium	3935291	5847.0	31060.0	16.0	3589265.0	11140.0	314966.0	176.0	336950.0	2659.0	33120016.0	2835822.0	11679161.0	Europe
2022-04-12	Belgium	3943831	8540.0	31079.0	19.0	3598674.0	9409.0	314078.0	173.0	337677.0	2661.0	33220032.0	2844352.0	11679299.0	Europe
2022-04-13	Belgium	3943831		31079.0		3617125.0	18451.0	295627.0	173.0	337677.0	2661.0	33220032.0	2844352.0	11679299.0	Europe
2022-04-14	Belgium	3943831		31079.0		3617043.0		295709.0	173.0	337677.0	2661.0	33220032.0	2844352.0	11679299.0	Europe
